Date/time;LCSS_t[c];LCSS_rh[%];REFERENCE_CO2[ppm];IRCA1(1)_co2[ppm];TDS0058(1)_co2[ppm]
04/02/2020_17:50:17;23.2;43.9;1289;1145.3;1190.00
04/02/2020_17:55:17;23.0;43.7;1298;1117.6;1190.00
04/02/2020_18:00:17;23.1;43.8;1294;1116.5;1170.00
04/02/2020_18:05:17;23.1;43.5;1269;1128.7;1160.00
04/02/2020_18:10:17;23.0;40.5;1115;869.2;900.00
04/02/2020_18:15:17;22.7;38.2;918;645.4;700.00
04/02/2020_18:20:17;23.0;36.8;765;522.9;560.00
04/02/2020_18:25:17;22.9;38.3;711;716.1;770.00
04/02/2020_18:30:17;23.0;40.8;930;850.9;920.00
04/02/2020_18:35:17;22.8;41.1;993;869.3;920.00
04/02/2020_18:40:17;22.8;41.4;1007;852.7;910.00
04/02/2020_18:45:17;22.8;41.6;1021;887.4;910.00
04/02/2020_18:50:17;22.7;41.6;1021;852.9;880.00
04/02/2020_18:55:17;22.7;41.5;979;833.4;870.00
04/02/2020_19:00:17;22.6;41.5;967;791.0;850.00
04/02/2020_19:05:17;22.5;41.6;956;823.0;840.00
04/02/2020_19:10:17;22.4;41.5;939;806.1;810.00
04/02/2020_19:15:17;22.4;41.8;938;798.8;810.00
04/02/2020_19:20:17;22.3;42.2;927;786.9;820.00
04/02/2020_19:25:17;22.2;42.0;908;747.0;760.00
04/02/2020_19:30:17;22.1;41.9;890;729.6;750.00
04/02/2020_19:35:17;22.1;41.7;848;665.3;700.00
04/02/2020_19:40:17;22.1;41.7;805;646.9;670.00
04/02/2020_19:45:17;22.3;42.1;793;642.3;670.00
04/02/2020_19:50:17;22.3;42.9;782;656.8;670.00
04/02/2020_19:55:17;22.3;42.9;800;660.6;690.00
04/02/2020_20:00:17;22.2;43.4;861;738.8;810.00
04/02/2020_20:05:17;22.2;43.2;899;779.3;810.00
04/02/2020_20:10:17;22.4;43.3;936;829.8;850.00
04/02/2020_20:15:17;22.4;44.0;995;890.8;940.00
04/02/2020_20:20:17;22.4;44.4;1073;957.9;1000.00
04/02/2020_20:25:17;22.4;44.5;1107;984.5;1030.00
04/02/2020_20:30:17;22.3;45.2;1146;1052.9;1070.00
04/02/2020_20:35:17;22.4;45.3;1166;1030.3;1080.00
04/02/2020_20:40:17;22.3;45.6;1195;1065.4;1110.00
04/02/2020_20:45:17;22.3;45.6;1212;1069.1;1130.00
